Name,SKU,Category,Brand,Size,Trap,Badge,Unit,Is Active
Range 8021,8021,Wall Hung Basin,Toris,"L 440 × W 370 × H 180 mm (17""x15""x7"")",,,Piece,Yes
Mini Taj 8022,8022,Wall Hung Basin,Toris,"L 460 × W 335 × H 125 mm (18""x13""x5"")",,,Piece,Yes
Tycoon 8023,8023,Wall Hung Basin,Toris,"L 435 × W 300 × H 130 mm (17""x12""x5"")",,,Piece,Yes
Rapid 8024,8024,Wall Hung Basin,Toris,"L 430 × W 350 × H 190 mm (17""x14""x8"")",,,Piece,Yes
Lily 8025,8025,Wall Hung Basin,Toris,"L 415 × W 350 × H 135 mm (16""x14""x5"")",,New Arrival,Piece,Yes
Prime 8026,8026,Wall Hung Basin,Toris,"L 415 × W 310 × H 120 mm (16""x12""x5"")",,New Arrival,Piece,Yes
Topaz 8027,8027,Wall Hung Basin,Toris,"L 420 × W 350 × H 135 mm (17""x14""x5"")",,,Piece,Yes
Theory C 8028,8028,Wall Hung Basin,Toris,"L 410 × W 310 × H 110 mm (16""x12""x4"")",,New Arrival,Piece,Yes
Twist 8029,8029,Wall Hung Basin,Toris,"L 405 × W 305 × H 120 mm (16""x12""x5"")",,,Piece,Yes
Prime Plus 8030,8030,Wall Hung Basin,Toris,"L 400 × W 300 × H 120 mm (16""x12""x5"")",,New Arrival,Piece,Yes
Rival 8031,8031,Wall Hung Basin,Toris,"L 410 × W 335 × H 160 mm (16""x13""x6"")",,,Piece,Yes
Theo 8032,8032,Wall Hung Basin,Toris,"L 405 × W 310 × H 150 mm (16""x12""x6"")",,,Piece,Yes
Amaze 8033,8033,Wall Hung Basin,Toris,"L 400 × W 300 × H 120 mm (16""x12""x5"")",,,Piece,Yes
Vito 8034,8034,Wall Hung Basin,Toris,"L 395 × W 390 × H 135 mm (16""x15""x9"")",,New Arrival,Piece,Yes
Tara 8035,8035,Wall Hung Basin,Toris,"L 400 × W 335 × H 140 mm (16""x13""x6"")",,,Piece,Yes
Taylor 8036,8036,Wall Hung Basin,Toris,"L 400 × W 300 × H 140 mm (16""x12""x6"")",,,Piece,Yes
Rock 8037,8037,Wall Hung Basin,Toris,"L 370 × W 300 × H 180 mm (15""x12""x7"")",,,Piece,Yes
Rush 8038,8038,Wall Hung Basin,Toris,"L 365 × W 250 × H 130 mm (14""x10""x5"")",,,Piece,Yes
Titan 8039,8039,Wall Hung Basin,Toris,"L 360 × W 285 × H 115 mm (14""x11""x5"")",,,Piece,Yes
Thunder 8040,8040,Wall Hung Basin,Toris,"L 350 × W 350 × H 100 mm (14""x14""x4"")",,,Piece,Yes
Toyesh 8041,8041,Wall Hung Basin,Toris,"L 350 × W 250 × H 100 mm (14""x10""x4"")",,,Piece,Yes
Rover 8042,8042,Wall Hung Basin,Toris,"L 360 × W 245 × H 140 mm (14""x10""x6"")",,,Piece,Yes
Aroma 8043,8043,Wall Hung Basin,Toris,"L 335 × W 300 × H 115 mm (13""x12""x5"")",,,Piece,Yes
Titus 8044,8044,Wall Hung Basin,Toris,"L 315 × W 310 × H 150 mm (12""x12""x6"")",,,Piece,Yes
Art 8045,8045,Wall Hung Basin,Toris,"L 305 × W 310 × H 120 mm (12""x12""x5"")",,,Piece,Yes
Troy 8046,8046,Wall Hung Basin,Toris,"L 305 × W 330 × H 140 mm (12""x13""x6"")",,,Piece,Yes
Rally 8047,8047,Wall Hung Basin,Toris,"L 330 × W 260 × H 200 mm (13""x10""x8"")",,,Piece,Yes
Trust 8048,8048,Wall Hung Basin,Toris,"L 300 × W 350 × H 110 mm (12""x14""x4"")",,,Piece,Yes
Axis 8049,8049,Wall Hung Basin,Toris,"L 300 × W 235 × H 120 mm (12""x9""x5"")",,,Piece,Yes
Resso 8050,8050,Wall Hung Basin,Toris,"L 305 × W 270 × H 150 mm (12""x11""x6"")",,,Piece,Yes
Thor 8051,8051,Corner Basin,Toris,"L 500 × W 350 × H 120 mm (20""x14""x5"")",,,Piece,Yes
Avante 8052,8052,Corner Basin,Toris,"L 300 × W 300 × H 110 mm (12""x12""x4"")",,,Piece,Yes
Retro A 8053,8053,Corner Basin,Toris,"L 360 × W 360 × H 150 mm (14""x14""x6"")",,,Piece,Yes
Token 8054,8054,Corner Basin,Toris,"L 360 × W 435 × H 140 mm (14""x17""x6"")",,,Piece,Yes
Retro B 8055,8055,Corner Basin,Toris,"L 305 × W 305 × H 130 mm (12""x12""x5"")",,,Piece,Yes
Root 8056,8056,Corner Basin,Toris,"L 440 × W 440 × H 190 mm (17""x17""x7"")",,,Piece,Yes
Robin 8057,8057,Corner Basin,Toris,"L 380 × W 380 × H 200 mm (15""x15""x8"")",,,Piece,Yes
Imperia 9001,9001,Urinal,Toris,L 340 × W 310 × H 1000 mm,,New Arrival,Piece,Yes
Iris 9002,9002,Urinal,Toris,L 350 × W 310 × H 680 mm,,,Piece,Yes
Itzel 9003,9003,Urinal,Toris,L 315 × W 285 × H 580 mm,,,Piece,Yes
Idea 9004,9004,Urinal,Toris,"L 335 × W 300 × H 675 mm (13""x12""x27"")",,New Arrival,Piece,Yes
Itcos 9005,9005,Urinal,Toris,L 290 × W 250 × H 510 mm,,,Piece,Yes
Icon 9006,9006,Urinal,Toris,L 380 × W 410 × H 610 mm,,,Piece,Yes
Indigo 9007,9007,Urinal,Toris,L 300 × W 300 × H 380 mm,,,Piece,Yes
Island 9008,9008,Urinal,Toris,L 320 × W 300 × H 460 mm,,,Piece,Yes
"Orissa Pan 23""",PAN-OR23,Pan,Toris,L 450 × W 590 × H 310 mm,,,Piece,Yes
"Orissa Pan 20""",PAN-OR20,Pan,Toris,L 420 × W 530 × H 280 mm,,,Piece,Yes
City Pan,PAN-CITY,Pan,Toris,L 420 × W 520 × H 180 mm,,,Piece,Yes
